Time 2023-11-27 13:11:46.737791, yaw 6, pitch -11, roll 2
Time 2023-11-27 13:11:46.804693, yaw 7, pitch -11, roll 0
Time 2023-11-27 13:11:46.862456, yaw 10, pitch -4, roll 1
Time 2023-11-27 13:11:46.928210, yaw 10, pitch -10, roll 0
Time 2023-11-27 13:11:46.995977, yaw 11, pitch -11, roll 0
Time 2023-11-27 13:11:47.074585, yaw 13, pitch -11, roll 0
Time 2023-11-27 13:11:47.136931, yaw 12, pitch -10, roll 0
Time 2023-11-27 13:11:47.196040, yaw 14, pitch -9, roll 0
Time 2023-11-27 13:11:47.260819, yaw 13, pitch -9, roll 0
Time 2023-11-27 13:11:47.339163, yaw 14, pitch -8, roll 0
Time 2023-11-27 13:11:47.410134, yaw 14, pitch -8, roll 0
Time 2023-11-27 13:11:47.465936, yaw 12, pitch -6, roll 0
Time 2023-11-27 13:11:47.543041, yaw 12, pitch -5, roll 0
Time 2023-11-27 13:11:47.605671, yaw 10, pitch -6, roll 0
Time 2023-11-27 13:11:47.673207, yaw 10, pitch -5, roll 0
Time 2023-11-27 13:11:47.728880, yaw 11, pitch -5, roll 0
Time 2023-11-27 13:11:47.807184, yaw 10, pitch -6, roll 0
Time 2023-11-27 13:11:47.871975, yaw 10, pitch -6, roll 0
Time 2023-11-27 13:11:47.941070, yaw 10, pitch -4, roll 0
Time 2023-11-27 13:11:48.008977, yaw 9, pitch -4, roll 0
Time 2023-11-27 13:11:48.073972, yaw 9, pitch -3, roll 0
Time 2023-11-27 13:11:48.142897, yaw 10, pitch -3, roll 1
Time 2023-11-27 13:11:48.208887, yaw 9, pitch -4, roll 1
Time 2023-11-27 13:11:48.280369, yaw 10, pitch -3, roll 0
Time 2023-11-27 13:11:48.329151, yaw 11, pitch -3, roll 0
Time 2023-11-27 13:11:48.408046, yaw 10, pitch -2, roll 1
Time 2023-11-27 13:11:48.474536, yaw 10, pitch 0, roll 1
Time 2023-11-27 13:11:48.540274, yaw 12, pitch 0, roll 2
Time 2023-11-27 13:11:48.609074, yaw 12, pitch 0, roll 2
Time 2023-11-27 13:11:48.669976, yaw 13, pitch 0, roll 2
Time 2023-11-27 13:11:48.739632, yaw 12, pitch -1, roll 2
Time 2023-11-27 13:11:48.795214, yaw 13, pitch 0, roll 2
Time 2023-11-27 13:11:48.862463, yaw 13, pitch -1, roll 2
Time 2023-11-27 13:11:48.928474, yaw 14, pitch -1, roll 2
Time 2023-11-27 13:11:49.001450, yaw 14, pitch 0, roll 2
Time 2023-11-27 13:11:49.073390, yaw 15, pitch -1, roll 2
Time 2023-11-27 13:11:49.138742, yaw 14, pitch -2, roll 2
Time 2023-11-27 13:11:49.210640, yaw 14, pitch -2, roll 3
Time 2023-11-27 13:11:49.271588, yaw 14, pitch -2, roll 4
Time 2023-11-27 13:11:49.327919, yaw 15, pitch -2, roll 4
Time 2023-11-27 13:11:49.392368, yaw 16, pitch -2, roll 5
Time 2023-11-27 13:11:49.474247, yaw 14, pitch -1, roll 6
Time 2023-11-27 13:11:49.527992, yaw 14, pitch -1, roll 6
Time 2023-11-27 13:11:49.605192, yaw 15, pitch -2, roll 6
Time 2023-11-27 13:11:49.675329, yaw 15, pitch -2, roll 6
Time 2023-11-27 13:11:49.742676, yaw 14, pitch -2, roll 6
Time 2023-11-27 13:11:49.807566, yaw 14, pitch -3, roll 6
Time 2023-11-27 13:11:49.874504, yaw 15, pitch -3, roll 6
Time 2023-11-27 13:11:49.935707, yaw 13, pitch -3, roll 6
Time 2023-11-27 13:11:50.010514, yaw 13, pitch -5, roll 6
Time 2023-11-27 13:11:50.071756, yaw 13, pitch -5, roll 6
Time 2023-11-27 13:11:50.142661, yaw 13, pitch -5, roll 6
Time 2023-11-27 13:11:50.208008, yaw 12, pitch -5, roll 7
Time 2023-11-27 13:11:50.275234, yaw 13, pitch -6, roll 7
Time 2023-11-27 13:11:50.341067, yaw 13, pitch -6, roll 8
Time 2023-11-27 13:11:50.411475, yaw 13, pitch -7, roll 8
Time 2023-11-27 13:11:50.476071, yaw 13, pitch -8, roll 8
Time 2023-11-27 13:11:50.537483, yaw 13, pitch -7, roll 9
Time 2023-11-27 13:11:50.611144, yaw 14, pitch -8, roll 8
Time 2023-11-27 13:11:50.670524, yaw 13, pitch -7, roll 9
Time 2023-11-27 13:11:50.743771, yaw 13, pitch -9, roll 9
Time 2023-11-27 13:11:50.805199, yaw 13, pitch -8, roll 9
Time 2023-11-27 13:11:50.878664, yaw 13, pitch -7, roll 9
