Time 2023-12-17 17:54:43.801646, yaw 12, pitch -11, roll -12
Time 2023-12-17 17:54:43.900693, yaw 12, pitch -12, roll -11
Time 2023-12-17 18:45:29.825814, yaw 16, pitch -16, roll -4
Time 2023-12-17 18:45:30.075507, yaw 17, pitch -14, roll -5
Time 2023-12-17 18:45:30.175526, yaw 18, pitch -14, roll -3
Time 2023-12-17 18:45:30.270359, yaw 15, pitch -15, roll -4
Time 2023-12-17 18:45:30.373617, yaw 16, pitch -13, roll -3
Time 2023-12-17 18:45:30.507009, yaw 15, pitch -17, roll -4
Time 2023-12-17 18:45:30.605585, yaw 17, pitch -14, roll -4
Time 2023-12-17 18:45:31.204065, yaw 15, pitch -14, roll -3
Time 2023-12-17 18:45:31.505824, yaw 16, pitch -16, roll -4
Time 2023-12-17 18:45:31.707128, yaw 16, pitch -16, roll -3
Time 2023-12-17 18:45:31.804800, yaw 17, pitch -14, roll -4
Time 2023-12-17 18:45:31.906258, yaw 17, pitch -14, roll -4
Time 2023-12-17 18:45:32.004399, yaw 18, pitch -14, roll -4
Time 2023-12-17 18:45:32.101767, yaw 20, pitch -12, roll -3
Time 2023-12-17 18:45:32.200078, yaw 17, pitch -15, roll -3
Time 2023-12-17 18:45:32.304466, yaw 17, pitch -15, roll -4
Time 2023-12-17 18:45:32.406426, yaw 17, pitch -16, roll -4
Time 2023-12-17 18:45:32.504782, yaw 17, pitch -15, roll -3
Time 2023-12-17 18:45:32.619501, yaw 19, pitch -16, roll -4
Time 2023-12-17 18:45:32.704579, yaw 17, pitch -18, roll -6
Time 2023-12-17 18:45:32.805678, yaw 19, pitch -13, roll -4
Time 2023-12-17 18:45:32.906024, yaw 16, pitch -7, roll -2
Time 2023-12-17 18:45:33.010748, yaw 16, pitch -8, roll -3
Time 2023-12-17 18:45:33.111048, yaw 15, pitch -22, roll -7
Time 2023-12-17 18:45:33.208076, yaw 18, pitch -19, roll -6
Time 2023-12-17 18:45:33.307806, yaw 17, pitch -15, roll -6
Time 2023-12-17 18:45:33.506422, yaw 17, pitch -5, roll 0
Time 2023-12-17 18:45:33.605373, yaw 13, pitch -5, roll -1
Time 2023-12-17 18:45:33.706892, yaw 17, pitch -18, roll -6
Time 2023-12-17 18:45:33.901315, yaw 19, pitch -15, roll -6
Time 2023-12-17 18:45:34.072360, yaw 16, pitch -19, roll -7
Time 2023-12-17 18:45:34.733378, yaw 22, pitch -12, roll -4
Time 2023-12-17 18:45:34.937746, yaw 20, pitch -17, roll -6
Time 2023-12-17 18:45:35.040704, yaw 22, pitch -14, roll -4
Time 2023-12-17 18:45:35.337548, yaw 18, pitch -17, roll -5
Time 2023-12-17 18:45:35.440871, yaw 20, pitch -16, roll -5
Time 2023-12-17 18:45:35.537368, yaw 18, pitch -15, roll -5
Time 2023-12-17 18:45:35.636933, yaw 17, pitch -19, roll -6
Time 2023-12-17 18:45:35.740616, yaw 19, pitch -16, roll -5
Time 2023-12-17 18:45:35.839027, yaw 20, pitch -15, roll -5
Time 2023-12-17 18:45:35.939777, yaw 19, pitch -13, roll -3
Time 2023-12-17 18:47:48.429065, yaw 17, pitch -12, roll -3
Time 2023-12-17 18:47:48.528253, yaw 13, pitch -16, roll 0
Time 2023-12-17 18:47:48.627274, yaw 10, pitch -12, roll 1
Time 2023-12-17 18:47:48.725889, yaw 8, pitch -11, roll 0
Time 2023-12-17 18:47:48.827532, yaw 9, pitch -14, roll 0
Time 2023-12-17 18:47:48.927728, yaw 9, pitch -14, roll 0
Time 2023-12-17 18:47:49.027824, yaw 9, pitch -15, roll -1
Time 2023-12-17 18:47:49.124927, yaw 9, pitch -17, roll -1
Time 2023-12-17 18:47:49.225471, yaw 13, pitch -22, roll -4
Time 2023-12-17 18:47:49.329341, yaw 17, pitch -11, roll -2
Time 2023-12-17 18:47:49.428902, yaw 19, pitch -12, roll -2
Time 2023-12-17 18:47:49.523934, yaw 23, pitch -10, roll -3
Time 2023-12-17 18:47:49.628382, yaw 24, pitch -9, roll -1
Time 2023-12-17 18:47:49.728104, yaw 24, pitch -10, roll -1
Time 2023-12-17 18:47:49.825642, yaw 25, pitch -9, roll -3
Time 2023-12-17 18:47:49.927617, yaw 24, pitch -12, roll -3
Time 2023-12-17 18:47:50.024209, yaw 23, pitch -12, roll -3
Time 2023-12-17 18:47:50.124875, yaw 23, pitch -11, roll -2
Time 2023-12-17 18:47:50.228444, yaw 16, pitch -17, roll -3
Time 2023-12-17 18:47:50.327916, yaw 15, pitch -16, roll -3
Time 2023-12-17 18:47:50.427291, yaw 15, pitch -18, roll -5
Time 2023-12-17 18:47:50.526118, yaw 16, pitch -17, roll -5
Time 2023-12-17 18:47:50.623795, yaw 15, pitch -13, roll -3
Time 2023-12-17 18:47:50.726042, yaw 16, pitch -18, roll -4
